filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time,best_value
training/01-myciel3.txt,100,0.25,0.10,0.80,100,1,1,3097,0.056103,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,1,2,3097,0.056031,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,1,3,3097,0.056075,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,1,4,3097,0.05608,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,50,2,0,3097,0.056004,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,50,2,1,3097,0.056084,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,50,2,2,3097,0.056109,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,50,2,3,3097,0.056072,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,50,2,4,3097,0.056067,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,2,0,3097,0.056018,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,2,1,3097,0.05607,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,2,2,3097,0.056007,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,2,3,3097,0.056063,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.80,100,2,4,3097,0.056041,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,1,0,3097,0.056045,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,1,1,3097,0.056035,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,1,2,3097,0.056031,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,1,3,3097,0.056076,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,1,4,3097,0.056042,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,1,0,3097,0.056117,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,1,1,3097,0.056043,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,1,2,3097,0.056108,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,1,3,3097,0.056012,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,1,4,3097,0.056091,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,2,0,3097,0.05601,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,2,1,3097,0.056108,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,2,2,3097,0.056026,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,2,3,3097,0.056049,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,50,2,4,3097,0.05606,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,2,0,3097,0.056019,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,2,1,3097,0.056064,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,2,2,3097,0.056043,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,2,3,3097,0.056044,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.70,100,2,4,3097,0.056064,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,1,0,3097,0.056091,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,1,1,3097,0.056055,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,1,2,3097,0.056059,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,1,3,3097,0.056022,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,1,4,3097,0.056002,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,1,0,3097,0.056059,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,1,1,3097,0.056095,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,1,2,3097,0.056104,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,1,3,3097,0.056052,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,1,4,3097,0.056047,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,2,0,3097,0.056039,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,2,1,3097,0.056019,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,2,2,3097,0.056098,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,2,3,3097,0.056016,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,50,2,4,3097,0.056091,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,2,0,3097,0.056047,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,2,1,3097,0.056088,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,2,2,3097,0.056084,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,2,3,3097,0.056075,0.056,3097
training/01-myciel3.txt,100,0.25,0.20,0.80,100,2,4,3097,0.056025,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,1,0,3097,0.056113,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,1,1,3097,0.056113,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,1,2,3097,0.056177,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,1,3,3097,0.056054,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,1,4,3097,0.056007,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,1,0,3097,0.056149,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,1,1,3097,0.05601,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,1,2,3097,0.056071,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,1,3,3097,0.056095,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,1,4,3097,0.056172,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,2,0,3097,0.056026,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,2,1,3097,0.056089,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,2,2,3097,0.05618,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,2,3,3097,0.056138,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,50,2,4,3097,0.056123,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,2,0,3097,0.056044,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,2,1,3097,0.056106,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,2,2,3097,0.056121,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,2,3,3097,0.056058,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.70,100,2,4,3097,0.056173,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,1,0,3097,0.056015,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,1,1,3097,0.056152,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,1,2,3097,0.056007,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,1,3,3097,0.056115,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,1,4,3097,0.056023,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,1,0,3097,0.056141,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,1,1,3097,0.056041,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,1,2,3097,0.056347,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,1,3,3097,0.056061,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,1,4,3097,0.056123,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,2,0,3097,0.056155,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,2,1,3097,0.056042,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,2,2,3097,0.056098,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,2,3,3097,0.056061,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,50,2,4,3097,0.056112,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,2,0,3097,0.056363,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,2,1,3097,0.056054,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,2,2,3097,0.056087,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,2,3,3097,0.056032,0.056,3097
training/01-myciel3.txt,150,0.20,0.10,0.80,100,2,4,3097,0.05616,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,1,0,3097,0.056031,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,1,1,3097,0.056118,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,1,2,3097,0.056023,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,1,3,3097,0.056092,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,1,4,3097,0.056071,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,1,0,3097,0.056058,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,1,1,3097,0.056093,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,1,2,3097,0.056115,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,1,3,3097,0.056085,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,1,4,3097,0.056152,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,2,0,3097,0.056359,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,2,1,3097,0.056131,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,2,2,3097,0.056049,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,2,3,3097,0.056178,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,50,2,4,3097,0.056007,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,2,0,3097,0.056086,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,2,1,3097,0.056126,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,2,2,3097,0.056128,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,2,3,3097,0.056025,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.70,100,2,4,3097,0.056166,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,1,0,3097,0.056052,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,1,1,3097,0.05612,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,1,2,3097,0.056385,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,1,3,3097,0.056078,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,1,4,3097,0.056158,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,1,0,3097,0.05605,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,1,1,3097,0.056119,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,1,2,3097,0.056168,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,1,3,3097,0.056127,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,1,4,3097,0.056123,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,2,0,3097,0.056084,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,2,1,3097,0.056084,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,2,2,3097,0.056169,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,2,3,3097,0.056022,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,50,2,4,3097,0.056004,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,2,0,3097,0.056122,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,2,1,3097,0.056108,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,2,2,3097,0.056007,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,2,3,3097,0.056116,0.056,3097
training/01-myciel3.txt,150,0.20,0.20,0.80,100,2,4,3097,0.056047,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,1,0,3097,0.056111,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,1,1,3097,0.056142,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,1,2,3097,0.056041,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,1,3,3097,0.056114,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,1,4,3097,0.056117,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,1,0,3097,0.056057,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,1,1,3097,0.056072,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,1,2,3097,0.056024,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,1,3,3097,0.05612,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,1,4,3097,0.056016,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,2,0,3097,0.056167,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,2,1,3097,0.056123,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,2,2,3097,0.056163,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,2,3,3097,0.056101,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,50,2,4,3097,0.056056,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,2,0,3097,0.05605,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,2,1,3097,0.056029,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,2,2,3097,0.056014,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,2,3,3097,0.056174,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.70,100,2,4,3097,0.056016,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,1,0,3097,0.056063,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,1,1,3097,0.05615,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,1,2,3097,0.056074,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,1,3,3097,0.056073,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,1,4,3097,0.056008,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,1,0,3097,0.056113,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,1,1,3097,0.056162,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,1,2,3097,0.056154,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,1,3,3097,0.05616,0.056,3097
